department,isbn,price,product,productAdjective,productMaterial,fullName,sex,jobTitle,city
Grocery,978-1-7901-3912-5,93.00,Shirt,Intelligent,Plastic,Jodi Weber,male,Regional Paradigm Developer,Connorport
Outdoors,978-0-05-694454-1,141.00,Sausages,Intelligent,Soft,Kelvin Schmitt-Haley,male,Central Accountability Facilitator,Sioux Falls
Movies,978-1-02-108605-1,422.00,Chicken,Unbranded,Plastic,Jimmy Green,female,International Accounts Assistant,Aidatown
Shoes,978-1-967224-72-2,104.00,Car,Modern,Cotton,Ryan Turner,female,Direct Operations Supervisor,Lake Teresaberg
Automotive,978-0-245-05561-4,957.00,Soap,Incredible,Metal,Julie Jerde MD,female,Regional Infrastructure Associate,Leuschketon
Baby,978-0-579-05895-4,138.00,Table,Rustic,Fresh,Hector Lind,male,Chief Identity Director,Nettiefurt
Clothing,978-0-86667-337-2,270.00,Pants,Refined,Soft,Sophia Anderson-Ondricka,male,Senior Research Consultant,Beaumont
Grocery,978-0-594-32797-4,574.00,Gloves,Small,Soft,Aaron Mayert,female,Human Assurance Director,Sylvanfort
Kids,978-0-02-986590-3,173.00,Shoes,Rustic,Metal,Chris Kohler,female,Legacy Optimization Producer,Fort Amara
Clothing,978-1-110-30105-8,247.00,Computer,Luxurious,Concrete,Mr. Vincent Wisoky,female,Dynamic Response Executive,Keyonworth
Grocery,978-1-308-82278-5,613.00,Shirt,Modern,Fresh,Dominic Lynch,female,National Brand Liaison,Fort Alvahshire
Music,978-1-267-05601-6,72.00,Gloves,Tasty,Plastic,Troy Bins,female,Legacy Marketing Officer,Morgan Hill
Tools,978-1-0872-2426-8,982.00,Bacon,Refined,Bronze,Thomas Bernier,female,Internal Communications Consultant,Jacklynborough
Beauty,978-1-151-35527-0,917.00,Chicken,Recycled,Concrete,Rebecca Hilpert,male,Senior Implementation Executive,Crookston
Garden,978-0-08-119655-7,840.00,Sausages,Awesome,Concrete,Anna Rice,male,Legacy Interactions Officer,Phoenix
Books,978-0-276-79399-8,557.00,Mouse,Refined,Steel,Clay Grimes,female,Customer Solutions Designer,Tierrafield
Automotive,978-0-3690-1310-1,136.00,Chicken,Sleek,Steel,Ms. Joy Willms,female,District Directives Executive,New Brenda
Outdoors,978-1-5329-3588-6,242.00,Pizza,Small,Fresh,Claude Lockman,male,Customer Response Liaison,Valentinstead
Home,978-0-9524288-3-1,236.00,Salad,Licensed,Granite,Clarence Schaefer,male,Senior Program Supervisor,Amarichester
Tools,978-1-5089-7329-4,83.00,Soap,Rustic,Soft,Bobbie Murphy,female,International Intranet Developer,Blandahaven
Books,978-1-76980-326-2,468.00,Table,Fantastic,Plastic,Terri Jacobs,female,Direct Web Planner,Catherineworth
Grocery,978-1-61240-327-4,32.00,Salad,Unbranded,Fresh,Orlando Glover,female,Product Configuration Designer,Ryleighfield
Electronics,978-1-0705-4705-3,68.00,Shoes,Licensed,Plastic,Andrew Hodkiewicz,female,Future Metrics Associate,West Randihaven
Outdoors,978-0-665-11549-3,346.00,Shoes,Gorgeous,Fresh,Lionel Conn IV,male,District Functionality Manager,South Claymouth
Health,978-0-7025-2680-0,416.00,Keyboard,Awesome,Rubber,Erin Toy,male,Central Integration Liaison,New Marilyne
Beauty,978-0-651-97120-1,520.00,Salad,Oriental,Metal,Mrs. Bertha Huel,male,National Operations Supervisor,North Richland Hills
Automotive,978-0-86830-067-2,704.00,Cheese,Awesome,Plastic,Dr. Cesar McDermott,male,Product Functionality Specialist,East Lora
Baby,978-0-7754-6709-3,447.00,Gloves,Tasty,Bronze,Gwen Littel,male,Principal Web Manager,Yonkers
Toys,978-1-58143-805-5,161.00,Towels,Handmade,Frozen,Dr. Veronica Reinger,male,Central Quality Analyst,Port Ilianastad
Toys,978-0-942222-26-5,751.00,Sausages,Modern,Wooden,Meghan Konopelski,male,Forward Paradigm Specialist,Alekberg
Kids,978-0-8135-7759-3,541.00,Bike,Tasty,Metal,Jesus Maggio,female,District Identity Representative,East Jocelynboro
Clothing,978-0-443-18608-0,388.00,Chicken,Recycled,Soft,Gordon Stamm,female,Internal Creative Technician,Andersonville
Shoes,978-0-606-05451-5,362.00,Chair,Tasty,Soft,Mr. Tyler Rogahn,male,District Intranet Architect,Krajcikton
Jewelery,978-1-4799-0670-3,126.00,Fish,Awesome,Metal,Belinda Breitenberg,female,Chief Accounts Agent,San Tan Valley
Beauty,978-1-7101-6186-1,697.00,Salad,Bespoke,Frozen,Rudolph Reynolds,male,Principal Markets Planner,Lake Chadd
